Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0,,,,,,,,,,,,,1,,,,,,1
2020-02-26,,,,,,,,1,,,,,,,,,,,,,,,,,,,2
2020-02-27,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,4
2020-02-28,1,,,1,1,1,,3,,,,,,,,,,,,,,,,1,,2,11
2020-02-29,,,,,2,1,,5,,,,,,,,,,,,,,,,1,,,14
2020-03-01,,,,2,2,1,1,7,0,,,,1,,,,,,,,,,,2,,,20
2020-03-02,2,,,4,2,1,2,7,,,,,,,,0,,,,,2,,,3,,2,26
2020-03-03,6,,,,2,3,,9,,,1,,,,,,,,1,,4,,,3,1,9,46
2020-03-04,7,,,6,2,3,4,9,,,1,0,8,,,1,,,3,,5,,,4,,,63
2020-03-05,9,,1,,6,8,6,13,,,2,,9,,,,,,,,18,,,5,3,19,109
2020-03-06,12,,,17,6,15,,18,,,3,,13,,,2,,1,6,,,,23,6,,26,176
2020-03-07,,,,,15,21,,30,,,4,,18,,,,,,,,45,,30,,,30,247
2020-03-08,,,,,19,24,8,40,,,4,,24,,,,,,,,58,,40,7,,37,303
2020-03-09,14,,2,34,20,28,11,49,,,5,,27,,,,,,,,68,,51,12,,40,373
2020-03-10,17,,,,22,33,,79,,,6,,31,,,,,,,,,,77,17,,49,458
2020-03-11,18,,,,26,49,16,90,,,6,,37,4,,,,,,,,,108,22,,59,551
2020-03-12,27,,5,,26,73,22,121,,,9,,46,,,15,,,,,180,2,156,30,,92,852
2020-03-13,32,,,,42,92,29,188,,,10,,59,,1,,,,9,,258,,204,53,13,140,1191
2020-03-14,,2,,,47,100,36,298,,,15,,68,,,,,,12,,265,,350,76,13,,1516
2020-03-15,,,,,54,,40,401,,,16,,74,,,,,,13,,291,,406,98,,,1742
2020-03-16,52,4,,123,76,144,45,490,,,17,,93,,,,,,,17,330,,508,116,24,270,2350
2020-03-17,67,5,,,89,165,59,623,10,,24,,114,,,47,,,,23,422,,608,173,,294,2896
2020-03-18,101,,11,193,116,182,86,769,,116,26,65,146,,,61,,43,,32,511,5,796,225,,424,3965
2020-03-19,118,6,,282,134,222,111,991,17,145,31,,175,25,,85,,,,36,638,7,1212,311,,526,5229
2020-03-20,168,,,377,184,272,145,1150,,213,37,92,188,28,,98,14,66,,49,834,7,1432,346,48,773,6569
2020-03-21,,,,418,282,299,167,1276,,239,49,109,200,33,,,,,,56,918,12,1676,433,,,7382
2020-03-22,232,,,,289,358,202,1432,31,266,51,131,216,36,,,,,,75,939,,1782,490,,,7990
2020-03-23,241,,30,470,302,376,226,1582,,,57,156,247,39,25,228,30,95,,81,1165,22,1822,527,62,1068,9167
2020-03-24,266,8,33,532,306,414,255,1679,33,276,66,205,265,42,25,,32,104,,87,1211,25,2162,606,72,1211,10156
2020-03-25,319,9,34,624,341,466,293,1809,40,322,78,228,280,44,27,228,34,129,99,96,1354,,2215,651,80,1363,11188
2020-03-26,349,11,42,660,422,505,309,2041,43,373,99,253,299,48,30,306,35,141,99,110,1401,38,2532,715,87,1476,12424
2020-03-27,364,12,44,718,466,534,369,2234,44,409,112,287,316,54,37,,36,157,119,117,1688,40,2745,808,101,1578,13695
2020-03-28,,13,45,767,502,573,421,2433,47,,118,317,337,55,,339,37,173,122,134,1727,48,2936,902,,1720,14677
2020-03-29,,,48,798,511,609,442,2550,,,118,339,346,59,,365,40,190,128,138,1837,50,3168,964,,1758,15429
2020-03-30,481,14,50,826,539,621,477,2764,50,497,122,351,378,63,46,389,41,,135,148,1962,53,3272,1000,112,1874,16455
2020-03-31,499,14,58,856,561,657,491,2994,53,513,127,375,402,70,46,414,42,196,141,154,2091,57,3465,1085,114,1960,17435
2020-04-01,549,,61,909,588,691,525,3161,56,521,144,401,420,70,48,414,44,216,146,166,2195,59,3639,1145,125,2148,18455
2020-04-02,592,20,64,1003,610,718,550,3369,58,569,145,422,430,76,51,480,47,227,155,179,2271,60,3796,1218,131,2323,19564
2020-04-03,626,20,65,1073,625,758,588,3561,59,598,149,449,433,79,56,480,47,237,164,198,2377,62,3915,1273,138,2452,20482
2020-04-04,,21,66,1106,656,771,638,3683,,,153,469,449,80,,504,47,250,168,208,2422,66,4035,1319,146,2492,21088
2020-04-05,,,67,1137,670,794,669,3750,,646,156,478,459,80,,515,49,258,170,213,2508,67,4115,1356,,2522,21587
2020-04-06,727,21,69,1173,682,803,689,3862,63,657,160,497,466,86,60,532,50,261,178,219,2546,67,4155,1400,152,2590,22165
2020-04-07,760,21,69,1228,690,813,729,3993,63,668,168,509,492,87,60,557,50,264,185,221,2599,68,4235,1436,157,2719,22841
2020-04-08,788,23,72,1286,694,834,756,,64,,174,527,,93,61,578,50,276,196,236,2659,72,,1484,162,2807,23280
