Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
2020-03-08,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2
2020-03-09,,,,,1,,,0,,,,,,,,,,,,,,,1,,,,2
2020-03-10,,,,,1,,,1,,,,,,,,,,,,,1,,1,,,,4
2020-03-11,,,,,2,,,1,,,,,,,,,,,,,,,1,,,,5
2020-03-12,,,,,2,1,,1,,,,,,,,,,,,,,,1,,,,6
2020-03-13,,,,,2,1,,1,,,,,,,,,,,,,,,2,,,,7
2020-03-14,,,,,2,1,,1,,,,,,,,,,,,,3,,3,1,,,11
2020-03-15,,,,,2,,,3,,,,,,,,,,,,,6,,4,1,,,17
2020-03-16,,,,1,2,4,,3,,,,,,,,,,,,,8,,5,2,,1,26
2020-03-17,,,,,2,4,,4,,,,,1,,,,,,,,10,,5,3,,,31
2020-03-18,,,,1,2,4,1,5,,1,,,2,,,,,,,,14,,5,3,,,39
2020-03-19,,,,1,2,4,1,6,,1,,,3,,,,,,,,15,,7,4,,3,47
2020-03-20,1,,,2,3,4,1,8,,3,,,3,,,,,,,,22,,12,6,,3,68
2020-03-21,,,1,3,3,5,2,8,,3,,1,4,,,,,,,,28,,15,7,,,84
2020-03-22,1,,,,3,5,3,9,,6,,1,4,,,,,,,,37,,16,10,,,102
2020-03-23,1,,1,5,3,5,4,13,,,,1,5,,,1,,1,,,48,,25,12,,5,136
2020-03-24,2,,2,6,4,5,5,14,,6,,2,6,,,,,1,,1,53,,29,13,,5,155
2020-03-25,2,,2,6,5,8,6,21,,6,,2,9,,,1,,1,,1,60,,36,14,,7,187
2020-03-26,2,,2,7,5,12,11,23,,9,,3,11,,,2,,1,1,1,67,,47,15,,9,228
2020-03-27,3,,2,8,5,13,15,30,,9,,3,12,,,,,1,1,2,76,,48,20,1,11,262
2020-03-28,,,2,9,6,13,15,37,1,,,4,14,,,5,,1,2,2,87,,55,21,,15,302
2020-03-29,,,2,10,6,15,16,44,,,,5,17,,,5,,2,2,2,93,,66,21,,15,335
2020-03-30,8,,2,13,7,15,17,53,1,12,,6,19,,,5,,,2,2,105,,77,26,1,21,394
2020-03-31,11,,2,16,10,16,20,61,2,19,,7,21,,,7,,2,4,3,120,,84,35,1,25,466
2020-04-01,11,,3,20,11,18,23,68,2,21,,7,23,,,7,1,3,4,4,132,1,92,37,1,29,518
2020-04-02,12,,3,23,12,19,26,76,2,23,,7,23,,,8,1,3,4,4,141,1,107,40,1,36,572
2020-04-03,12,,3,26,14,21,31,80,2,27,,7,23,,,8,1,3,4,5,155,1,123,45,2,38,631
2020-04-04,,,3,28,19,24,37,93,,,,7,24,0,,9,1,3,5,5,165,1,138,51,2,41,697
2020-04-05,,,3,28,19,26,40,100,,30,,9,26,0,,9,1,3,5,7,177,2,147,53,,45,746
2020-04-06,13,,3,31,19,26,41,111,2,31,,9,30,0,0,11,1,3,6,7,189,2,160,56,3,48,802
2020-04-07,16,,3,33,19,28,44,118,2,34,,9,,0,0,13,1,3,7,8,198,2,172,61,3,52,856
2020-04-08,16,,3,37,21,31,45,,2,,,9,,0,0,15,1,3,7,8,211,4,,68,3,57,895
