Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-02-26,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
2020-02-27,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
2020-02-28,,,,,,,,2,,,,,,,,,,,,,,,4,3,,,9
2020-02-29,,,,,1,,,3,,,,,,,,,,,,,,,4,3,,,11
2020-03-01,,,,,1,,,3,,,,,,,,,,,,,,,4,4,,,12
2020-03-02,,,,,1,,,3,,,,,1,,,,,,,,,,6,4,,,15
2020-03-03,,,,,1,,,4,,,,,1,,,,,,,,,,8,5,,,19
2020-03-04,,,,,1,,,4,,,,,4,,,,,,1,,,,11,6,,,27
2020-03-05,,,,,1,1,,5,,,,,4,,,,,,,,,,14,3,,,29
2020-03-06,,,,,4,1,,7,,,,,2,,,,,,,,,,15,3,,,33
2020-03-07,,,,,4,1,,7,,,,,2,,,,,,,,,,16,,,,34
2020-03-08,,,,,4,1,,9,,,,,3,,,,,,,,,,22,3,,,43
2020-03-09,,,,,4,1,,13,,,,,4,,,,,,,,,,29,7,,,59
2020-03-10,,,,,5,1,,18,,,,,4,,,,,,,,,,36,8,,,73
2020-03-11,,,,,3,13,,20,,,,,6,,,,,,,,,,38,11,,,92
2020-03-12,1,,,,9,13,,23,,,,,6,,,,,,,,,,43,12,,,108
2020-03-13,,,,,12,13,,33,,,,,9,,,,,,,,65,,52,17,,,203
2020-03-14,,,,,8,13,,43,,,,,10,,,,,,,,,,43,17,,,201
2020-03-15,,,,,12,,,46,,,,,9,,,,,,,,,,62,22,,,231
2020-03-16,2,,,,17,13,,66,,,7,,13,,,,,,,,,,66,24,,,274
2020-03-17,2,,,,26,30,,75,,,7,,16,,,,,,,,,,95,29,,,346
2020-03-18,6,,3,,27,40,11,78,,13,6,,18,,,,,,,,,,128,33,,,429
2020-03-19,17,1,,,19,40,12,92,,18,6,,19,,,,,,,,155,,140,42,,,565
2020-03-20,25,,,,27,45,20,109,,24,5,,21,,,,,,,,168,,152,47,1,,649
2020-03-21,,,,,30,46,28,145,,24,8,,20,,,,,,,,184,,175,55,,,746
2020-03-22,,,,,40,50,32,179,3,27,9,,28,,,,,,,,246,,203,64,,,912
2020-03-23,10,,7,,51,56,35,214,,,13,,33,,,,,,,,261,1,223,70,,,1007
2020-03-24,24,,6,,66,58,35,238,3,29,16,,32,,,,,,,,285,1,266,80,,,1142
2020-03-25,16,,,,68,58,39,258,2,43,16,,41,,,,,,,,306,,291,84,,,1232
2020-03-26,38,,,,68,74,44,272,2,45,16,,42,,,,,,,,358,4,327,96,,152,1547
2020-03-27,50,,,,79,76,50,313,3,52,16,,45,,,,,,,,386,7,370,104,,156,1716
2020-03-28,,,,,75,79,67,339,3,,23,,50,,,,,,,,385,7,390,110,,187,1826
2020-03-29,,,,,99,87,76,365,,,25,,60,,,,,,,,402,7,388,112,,194,1929
2020-03-30,94,,,112,86,90,77,382,1,63,23,,57,,,,,,,,415,7,386,122,,199,2123
2020-03-31,85,,,111,88,105,77,405,5,58,23,,59,,,,,,,,401,9,392,136,,197,2160
2020-04-01,94,,,115,86,108,81,406,5,58,29,57,66,,,,,,,,396,10,390,139,,203,2252
2020-04-02,94,,,104,81,119,80,424,5,59,27,66,61,,,64,18,14,,,374,4,386,135,,200,2324
2020-04-03,100,,,109,82,115,77,424,5,60,25,49,61,,,75,6,17,,,370,6,375,144,,207,2316
2020-04-04,,,,113,73,112,89,421,,,24,49,59,,,79,12,,,,363,6,373,142,,194,2300
2020-04-05,,,,110,73,106,87,424,,49,25,49,58,,,70,12,16,,,362,5,377,151,,194,2282
2020-04-06,82,,,117,67,99,87,418,2,52,22,61,59,9,,70,15,26,,34,357,9,378,146,,198,2317
2020-04-07,84,,,122,66,101,78,412,2,49,25,57,66,10,2,65,12,29,,33,357,7,356,134,,181,2257
2020-04-08,56,,,127,65,99,80,402,2,,26,,63,7,2,52,15,22,,30,319,5,,132,,170,2145
