Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2020-03-09,2,,,,1,,,,,,,,,,,,,,,,,,,,,,3
2020-03-10,2,,,,2,,,,,,,,,,,,,,,,,,,3,,,7
2020-03-11,2,,,,2,4,,,,,,,,,,,,,,,,,,,,,11
2020-03-12,3,,,,2,4,,,,,,,,,,,,,,,,,,,,,12
2020-03-13,3,,,,2,4,,,,,,,,,,,,,,,,,5,,,,17
2020-03-14,,,,,2,4,,,,,,,,,,,,,,,,,5,,,,17
2020-03-15,,,,,5,,,,,,,,,,,,,,,,,,5,,,,20
2020-03-16,4,,,,5,4,,,,,,,,,,,,,,,,,5,,,,21
2020-03-17,4,,,,13,25,,,,,,,,,,,,,,,,,9,,,,54
2020-03-18,4,,,,16,36,,,,,,,,,,,,,,,,,16,,,,75
2020-03-19,,,,,16,44,,,,,,,,,,,,,,,,,52,,,,119
2020-03-20,,,,,18,46,,,,,,,,,,,,,,,,,62,,5,,138
2020-03-21,,,,,21,57,,,,,,,,,,,,,,,,,70,,,,160
2020-03-22,,,,,21,73,,,,,,,,,,,,,,,,,75,,,,181
2020-03-23,,,,,35,78,,,,,,,,,,,,,,,,1,91,,10,,222
2020-03-24,,,,,40,105,,103,,,,,,,,,,,,,,1,100,,12,,368
2020-03-25,,,,,46,128,,122,,,,,,,,,,,10,,,,117,,,,443
2020-03-26,,,,,65,155,,144,,,,,,,,,,,10,,,2,148,,15,,546
2020-03-27,,,,,76,191,,153,,,,,,,,,,,32,,,3,174,,18,,654
2020-03-28,,,,,100,211,,175,,,,,,,,,,,33,,,3,187,,,,734
2020-03-29,,,,,115,228,,193,,,,,,,,,,,33,,,3,203,,,,800
2020-03-30,,,,,158,263,,216,,,,,,,,,,,33,,,9,223,,29,,938
2020-03-31,,,,,242,292,,241,,,,,,,,,,,48,,202,11,225,,39,,1307
2020-04-01,,,,,249,323,,260,,,,,,,,,,,65,,229,13,,70,40,,1478
2020-04-02,,,,,262,350,,283,,,,,,,,49,,,65,,263,13,,88,41,,1643
2020-04-03,,,,,266,397,,284,,,,,,,,50,,,75,,287,26,,91,44,,1749
2020-04-04,,,,,298,434,,305,,,,,,,,62,,,92,,314,26,,95,46,,1901
2020-04-05,,,,,369,460,,327,,,,,,,,70,,,93,,340,26,,,,,2055
2020-04-06,,,,,412,481,,345,,,,,,,1,75,,,93,,350,34,,105,52,,2177
2020-04-07,170,,,,452,508,,374,,,,,,,,79,,,105,,350,42,,123,54,,2483
2020-04-08,220,,,,461,535,,442,,,,,,,,89,,,107,,420,42,,130,61,,2733
