Date,Deaths,UK,England,Scotland,Wales,Northern Ireland
3/10/20,,6,,,,
3/11/20,,,,,,
3/12/20,,8,,,,
3/13/20,,,,,,
3/14/20,,21,,,,
3/15/20,14,35,,,,
3/16/20,20,55,,,,
3/17/20,16,71,,,,
3/18/20,32,103,,,,
3/19/20,41,144,,,,
3/20/20,33,177,,,,
3/21/20,56,233,,,,
3/22/20,48,281,,,,
3/23/20,54,335,,,,
3/24/20,87,422,,,,
3/25/20,41,463,,,,
3/26/20,115,578,,,,
3/27/20,181,759,679,33,34,13
3/28/20,260,"1,019",926,40,38,15
3/29/20,209,"1,228","1,125",40,48,15
3/30/20,180,"1,408","1,284",41,62,21
3/31/20,381,"1,789","1,651",47,69,22
4/1/20,563,"2,352","2,166",60,98,28
4/2/20,569,"2,921","2,698",76,117,30
4/3/20,684,"3,605","3,302",126,141,36
4/4/20,708,"4,313","3,939",172,154,48
