Region,Date du cas,Cas confirmé
Switzerland,2/24/2020,1
Switzerland,2/25/2020,1
Switzerland,2/26/2020,10
Switzerland,2/27/2020,7
Switzerland,2/28/2020,10
Switzerland,2/29/2020,13
Switzerland,3/1/2020,11
Switzerland,3/2/2020,32
Switzerland,3/3/2020,33
Switzerland,3/4/2020,60
Switzerland,3/5/2020,59
Switzerland,3/6/2020,73
Switzerland,3/7/2020,49
Switzerland,3/8/2020,63
Switzerland,3/9/2020,185
Switzerland,3/10/2020,201
Switzerland,3/11/2020,312
Switzerland,3/12/2020,326
Switzerland,3/13/2020,413
Switzerland,3/14/2020,421
Switzerland,3/15/2020,317
Switzerland,3/16/2020,1001
Switzerland,3/17/2020,976
Switzerland,3/18/2020,1157
Switzerland,3/19/2020,841
Switzerland,3/20/2020,1145
Switzerland,3/21/2020,698
Switzerland,3/22/2020,541
Switzerland,3/23/2020,1468
Switzerland,3/24/2020,1250
Switzerland,3/25/2020,1075
Switzerland,3/26/2020,1123
Switzerland,3/27/2020,1311
Switzerland,3/28/2020,729
Switzerland,3/29/2020,440
Switzerland,3/30/2020,1304
Switzerland,3/31/2020,1137
Switzerland,4/1/2020,1003
Switzerland,4/2/2020,878
Switzerland,4/3/2020,730
Switzerland,4/4/2020,214
Switzerland,4/5/2020,34
